Date,Total
1960M01,5787
1960M02,6240
1960M03,6947
1960M04,6677
1960M05,6807
1960M06,6367
1960M07,6503
1960M08,6307
1960M09,6417
1960M10,6206
1960M11,5880
1960M12,5939
1961M01,6197
1961M02,5946
1961M03,6947
1961M04,6665
1961M05,6698
1961M06,6254
1961M07,6400
1961M08,6376
1961M09,6415
1961M10,6244
1961M11,6036
1961M12,6261
1962M01,6291
1962M02,6304
1962M03,7150
1962M04,6950
1962M05,7016
1962M06,6577
1962M07,6525
1962M08,6533
1962M09,6460
1962M10,6066
1962M11,5893
1962M12,6043
1963M01,6442
1963M02,6155
1963M03,7684
1963M04,7362
1963M05,7353
1963M06,6938
1963M07,6897
1963M08,6873
1963M09,6959
1963M10,6848
1963M11,6499
1963M12,6403
1964M01,6673
1964M02,6779
1964M03,7603
1964M04,7467
1964M05,7092
1964M06,6847
1964M07,7032
1964M08,6789
1964M09,7027
1964M10,6802
1964M11,6379
1964M12,6866
1965M01,6871
1965M02,6555
1965M03,7641
1965M04,7648
1965M05,7374
1965M06,7229
1965M07,7363
1965M08,7258
1965M09,7217
1965M10,6942
1965M11,6754
1965M12,6944
1966M01,7044
1966M02,6704
1966M03,8017
1966M04,8022
1966M05,7778
1966M06,7223
1966M07,7517
1966M08,7402
1966M09,7442
1966M10,7489
1966M11,6875
1966M12,6819
1967M01,6955
1967M02,6664
1967M03,7631
1967M04,7473
1967M05,7350
1967M06,6758
1967M07,6890
1967M08,6651
1967M09,6535
1967M10,6462
1967M11,5928
1967M12,6113
1968M01,6075
1968M02,6101
1968M03,7043
1968M04,7036
1968M05,6801
1968M06,6300
1968M07,6076
1968M08,6081
1968M09,6012
1968M10,5841
1968M11,5564
1968M12,5613
1969M01,6033
1969M02,5515
1969M03,6621
1969M04,6476
1969M05,6431
1969M06,5996
1969M07,5977
1969M08,5861
1969M09,5934
1969M10,5808
1969M11,5347
1969M12,5299
1970M01,5499
1970M02,5303
1970M03,6418
1970M04,6570
1970M05,6330
1970M06,6079
1970M07,6073
1970M08,6045
1970M09,5846
1970M10,5454
1970M11,5576
1970M12,5609
1971M01,5817
1971M02,5604
1971M03,6715
1971M04,6802
1971M05,6925
1971M06,6382
1971M07,6368
1971M08,6460
1971M09,6436
1971M10,6011
1971M11,5967
1971M12,5872
1972M01,6088
1972M02,6148
1972M03,6890
1972M04,6967
1972M05,6963
1972M06,6631
1972M07,6405
1972M08,6398
1972M09,6135
1972M10,5764
1972M11,5492
1972M12,5624
1973M01,5936
1973M02,5717
1973M03,6729
1973M04,6375
1973M05,6501
1973M06,6195
1973M07,6157
1973M08,5938
1973M09,5903
1973M10,5524
1973M11,5449
1973M12,5471
1974M01,5932
1974M02,5436
1974M03,6648
1974M04,6376
1974M05,6393
1974M06,5751
1974M07,6082
1974M08,5947
1974M09,6261
1974M10,5761
1974M11,5442
1974M12,5298
1975M01,5902
1975M02,5870
1975M03,6477
1975M04,6664
1975M05,6365
1975M06,6115
1975M07,6385
1975M08,6063
1975M09,6001
1975M10,5633
1975M11,5222
1975M12,5374
1976M01,5376
1976M02,5522
1976M03,6221
1976M04,5852
1976M05,5839
1976M06,5760
1976M07,5613
1976M08,5381
1976M09,5346
1976M10,5166
1976M11,4598
1976M12,4593
1977M01,5053
1977M02,4889
1977M03,5748
1977M04,5412
1977M05,5589
1977M06,5321
1977M07,5232
1977M08,5254
1977M09,4960
1977M10,5050
1977M11,4766
1977M12,4604
1978M01,4944
1978M02,4695
1978M03,5670
1978M04,5635
1978M05,5964
1978M06,5413
1978M07,5470
1978M08,5264
1978M09,5155
1978M10,4936
1978M11,4482
1978M12,4408
1979M01,4747
1979M02,4643
1979M03,5550
1979M04,5521
1979M05,5445
1979M06,5274
1979M07,5032
1979M08,5037
1979M09,4842
1979M10,4796
1979M11,4359
1979M12,4218
1980M01,4738
1980M02,4590
1980M03,5233
1980M04,5345
1980M05,5190
1980M06,4919
1980M07,5076
1980M08,4805
1980M09,4685
1980M10,4461
1980M11,4124
1980M12,4127
1981M01,4200
1981M02,4087
1981M03,4595
1981M04,4765
1981M05,4745
1981M06,4725
1981M07,4790
1981M08,4545
1981M09,4616
1981M10,4155
1981M11,3870
1981M12,3996
1982M01,4368
1982M02,4067
1982M03,4732
1982M04,4640
1982M05,4876
1982M06,4600
1982M07,4606
1982M08,4405
1982M09,4334
1982M10,4239
1982M11,3878
1982M12,3913
1983M01,3863
1983M02,3864
1983M03,4597
1983M04,4577
1983M05,4363
1983M06,4521
1983M07,4474
1983M08,4493
1983M09,4342
1983M10,4188
1983M11,3816
1983M12,3724
1984M01,3974
1984M02,4009
1984M03,4653
1984M04,4570
1984M05,4623
1984M06,4490
1984M07,4545
1984M08,4546
1984M09,4340
1984M10,4247
1984M11,4027
1984M12,3776
1985M01,4060
1985M02,3952
1985M03,4662
1985M04,4929
1985M05,4834
1985M06,4604
1985M07,4826
1985M08,4754
1985M09,4631
1985M10,4422
1985M11,4037
1985M12,4038
1986M01,4080
1986M02,4301
1986M03,4751
1986M04,5030
1986M05,4926
1986M06,4692
1986M07,4993
1986M08,4721
1986M09,4892
1986M10,4533
1986M11,4124
1986M12,4269
1987M01,4367
1987M02,4058
1987M03,4940
1987M04,4998
