Date,Total
1946M01,64599
1946M02,65702
1946M03,78294
1946M04,76400
1946M05,76636
1946M06,71970
1946M07,75104
1946M08,71297
1946M09,68450
1946M10,64468
1946M11,62949
1946M12,68035
1947M01,74079
1947M02,70065
1947M03,78247
1947M04,75911
1947M05,78953
1947M06,74571
1947M07,75384
1947M08,72383
1947M09,70028
1947M10,67344
1947M11,65189
1947M12,68318
1948M01,75889
1948M02,73285
1948M03,78215
1948M04,73569
1948M05,73476
1948M06,71360
1948M07,75725
1948M08,72155
1948M09,70801
1948M10,68475
1948M11,66781
1948M12,71105
1949M01,77153
1949M02,70292
1949M03,78043
1949M04,76630
1949M05,77381
1949M06,73823
1949M07,75128
1949M08,71895
1949M09,68997
1949M10,66170
1949M11,66084
1949M12,71065
1950M01,76558
1950M02,69607
1950M03,78650
1950M04,75376
1950M05,76436
1950M06,72030
1950M07,73248
1950M08,70728
1950M09,68156
1950M10,69357
1950M11,65008
1950M12,67156
1951M01,71119
1951M02,66113
1951M03,72954
1951M04,71787
1951M05,74698
1951M06,70322
1951M07,73716
1951M08,68929
1951M09,66254
1951M10,65112
1951M11,60226
1951M12,65492
1952M01,70350
1952M02,67033
1952M03,73414
1952M04,71715
1952M05,72814
1952M06,68354
1952M07,69876
1952M08,68979
1952M09,66843
1952M10,65510
1952M11,62940
1952M12,64376
1953M01,69771
1953M02,64564
1953M03,71538
1953M04,67876
1953M05,71645
1953M06,67705
1953M07,71225
1953M08,68549
1953M09,65045
1953M10,62643
1953M11,59440
1953M12,64695
1954M01,70215
1954M02,64826
1954M03,70406
1954M04,69474
1954M05,72752
1954M06,66940
1954M07,70499
1954M08,69177
1954M09,65781
1954M10,65149
1954M11,61497
1954M12,64038
1955M01,69253
1955M02,63330
1955M03,71800
1955M04,70245
1955M05,72035
1955M06,67817
1955M07,70238
1955M08,67434
1955M09,63842
1955M10,64480
1955M11,60667
1955M12,64776
1956M01,68254
1956M02,66290
1956M03,71586
1956M04,68117
1956M05,72508
1956M06,66428
1956M07,70485
1956M08,67844
1956M09,65080
1956M10,63857
1956M11,61108
1956M12,65359
1957M01,71369
1957M02,65515
1957M03,71804
1957M04,68475
1957M05,70838
1957M06,66762
1957M07,67841
1957M08,68944
1957M09,67702
1957M10,67028
1957M11,63662
1957M12,66527
1958M01,70099
1958M02,64465
1958M03,71624
1958M04,67376
1958M05,72090
1958M06,67490
1958M07,66214
1958M08,64077
1958M09,65906
1958M10,68382
1958M11,65673
1958M12,68819
1959M01,72025
1959M02,65815
1959M03,72821
1959M04,71319
1959M05,73465
1959M06,67763
1959M07,71150
1959M08,69936
1959M09,67738
1959M10,67418
1959M11,63852
1959M12,65947
1960M01,67989
1960M02,65972
1960M03,70716
1960M04,68782
1960M05,73283
1960M06,68962
1960M07,71881
1960M08,69943
1960M09,68155
1960M10,66044
1960M11,61853
1960M12,66239
1961M01,71757
1961M02,65868
1961M03,73187
1961M04,72534
1961M05,75404
1961M06,69854
1961M07,71599
1961M08,69759
1961M09,67467
1961M10,68105
1961M11,65012
1961M12,68087
1962M01,69537
1962M02,64691
1962M03,72649
1962M04,70128
1962M05,74505
1962M06,68454
1962M07,70869
1962M08,71174
1962M09,68833
1962M10,68706
1962M11,65587
1962M12,67220
1963M01,71604
1963M02,67690
1963M03,77533
1963M04,74497
1963M05,77888
1963M06,72129
1963M07,76085
1963M08,72671
1963M09,72333
1963M10,70966
1963M11,66474
1963M12,69006
1964M01,73217
1964M02,71534
1964M03,76540
1964M04,75562
1964M05,78223
1964M06,73946
1964M07,76073
1964M08,71523
1964M09,72881
1964M10,71449
1964M11,66762
1964M12,70094
1965M01,74738
1965M02,67592
1965M03,75381
1965M04,74441
1965M05,77581
1965M06,73132
1965M07,74822
1965M08,72935
1965M09,71391
1965M10,70156
1965M11,65869
1965M12,67650
1966M01,73014
1966M02,67416
1966M03,76288
1966M04,75285
1966M05,79080
1966M06,74129
1966M07,74381
1966M08,72037
1966M09,69571
1966M10,69098
1966M11,65060
1966M12,68168
1967M01,70023
1967M02,65089
1967M03,72445
1967M04,73777
1967M05,77684
1967M06,71045
1967M07,72277
1967M08,70013
1967M09,68689
1967M10,68208
1967M11,63712
1967M12,67606
1968M01,70409
1968M02,67077
1968M03,73703
1968M04,71719
1968M05,75317
1968M06,70355
1968M07,71544
1968M08,69027
1968M09,69193
1968M10,67673
1968M11,63496
1968M12,66283
1969M01,70318
1969M02,66375
1969M03,74871
1969M04,72018
1969M05,76896
1969M06,70852
1969M07,72358
1969M08,67686
1969M09,68587
1969M10,68777
1969M11,64710
1969M12,68797
1970M01,69153
1970M02,64082
1970M03,73471
1970M04,73170
1970M05,77009
1970M06,73159
1970M07,74267
1970M08,68980
1970M09,66217
1970M10,67915
1970M11,68842
1970M12,74116
1971M01,73928
1971M02,67670
1971M03,76069
1971M04,77515
1971M05,81159
1971M06,74870
1971M07,76073
1971M08,72280
1971M09,71927
1971M10,71304
1971M11,67738
1971M12,70751
1972M01,73345
1972M02,69083
1972M03,76074
1972M04,75391
1972M05,79743
1972M06,75698
1972M07,76199
1972M08,72082
1972M09,69937
1972M10,69873
1972M11,67481
1972M12,72600
1973M01,72896
1973M02,66306
1973M03,76204
1973M04,76926
1973M05,80855
1973M06,74712
1973M07,74848
1973M08,69954
1973M09,66696
1973M10,66171
1973M11,64342
1973M12,67276
1974M01,68209
1974M02,60724
1974M03,69374
1974M04,69910
1974M05,73930
1974M06,66978
1974M07,70276
1974M08,67548
1974M09,65449
1974M10,65166
1974M11,60565
1974M12,63089
1975M01,62600
1975M02,58062
1975M03,65881
1975M04,68355
1975M05,71894
1975M06,65199
1975M07,66848
1975M08,60598
1975M09,56642
1975M10,56394
1975M11,54512
1975M12,58080
1976M01,57743
1976M02,55628
1976M03,61478
1976M04,61643
1976M05,65457
1976M06,63948
1976M07,63445
1976M08,59794
1976M09,59507
1976M10,58434
1976M11,55663
1976M12,57655
1977M01,58496
1977M02,54481
1977M03,62561
1977M04,63785
1977M05,71627
1977M06,66698
1977M07,66068
1977M08,63412
1977M09,60297
1977M10,61441
1977M11,56883
1977M12,58995
1978M01,59369
1978M02,56160
1978M03,63729
1978M04,65767
1978M05,70391
1978M06,64352
1978M07,64236
1978M08,59429
1978M09,58383
1978M10,59840
1978M11,55942
1978M12,59464
1979M01,59981
1979M02,55932
1979M03,63479
1979M04,66351
1979M05,70959
1979M06,65426
1979M07,66988
1979M08,62044
1979M09,60918
1979M10,63552
1979M11,59927
1979M12,61797
1980M01,63538
1980M02,60354
1980M03,67017
1980M04,68442
1980M05,73984
1980M06,67896
1980M07,71028
1980M08,67362
1980M09,65719
1980M10,67243
1980M11,62887
1980M12,64906
1981M01,65214
1981M02,60514
1981M03,68630
1981M04,70351
1981M05,73189
1981M06,69281
1981M07,71634
1981M08,68330
1981M09,65325
1981M10,65195
1981M11,62119
1981M12,65701
1982M01,64717
1982M02,60701
1982M03,69193
1982M04,69541
1982M05,72406
1982M06,68944
1982M07,70847
1982M08,67083
1982M09,65181
1982M10,64998
1982M11,61178
1982M12,62434
1983M01,61042
1983M02,57134
1983M03,62166
1983M04,62754
1983M05,68829
1983M06,66146
1983M07,68091
1983M08,63518
1983M09,61396
1983M10,60295
1983M11,57089
1983M12,60065
1984M01,60189
1984M02,58353
1984M03,63252
1984M04,61144
1984M05,66841
1984M06,65570
1984M07,68678
1984M08,64674
1984M09,62899
1984M10,64887
1984M11,61239
1984M12,62213
1985M01,63003
1985M02,56278
1985M03,64260
1985M04,64679
1985M05,70206
1985M06,65603
1985M07,69242
1985M08,63905
1985M09,62793
1985M10,64195
1985M11,60909
1985M12,63358
1986M01,63920
1986M02,58689
1986M03,65629
1986M04,65781
1986M05,70208
1986M06,66807
1986M07,67734
1986M08,65760
1986M09,64206
1986M10,65099
1986M11,60307
1986M12,64328
1987M01,62628
1987M02,57137
1987M03,64507
1987M04,64830
1987M05,69074
1987M06,68275
1987M07,67974
1987M08,64129
1987M09,63190
1987M10,63511
1987M11,59689
1987M12,62884
1988M01,62358
1988M02,59563
1988M03,65930
1988M04,63550
1988M05,68600
1988M06,64456
1988M07,66600
1988M08,66037
1988M09,64609
1988M10,64432
1988M11,61714
1988M12,63419
1989M01,60905
1989M02,57666
1989M03,64569
1989M04,64191
1989M05,68364
1989M06,66118
1989M07,68170
1989M08,64007
1989M09,60567
1989M10,64292
1989M11,62184
1989M12,64440
1990M01,62921
1990M02,56701
1990M03,63230
1990M04,62139
1990M05,67307
1990M06,65000
1990M07,68843
1990M08,64823
1990M09,61992
1990M10,64688
1990M11,61404
1990M12,63359
1991M01,62758
1991M02,57319
1991M03,62463
1991M04,62560
1991M05,65687
1991M06,64174
1991M07,68810
1991M08,64545
1991M09,63655
1991M10,64147
1991M11,60402
1991M12,62536
1992M01,61964
1992M02,58811
