Date,Total
1960M01,105142
1960M02,106106
1960M03,113434
1960M04,107347
1960M05,110045
1960M06,104757
1960M07,107021
1960M08,105874
1960M09,106830
1960M10,98331
1960M11,95708
1960M12,101019
1961M01,111619
1961M02,106216
1961M03,119647
1961M04,112384
1961M05,114476
1961M06,106854
1961M07,108082
1961M08,107818
1961M09,108436
1961M10,106801
1961M11,103552
1961M12,107620
1962M01,111765
1962M02,105637
1962M03,118290
1962M04,111746
1962M05,115420
1962M06,108452
1962M07,109548
1962M08,109718
1962M09,109730
1962M10,106119
1962M11,103036
1962M12,107073
1963M01,116863
1963M02,108193
1963M03,124628
1963M04,117117
1963M05,120150
1963M06,110482
1963M07,114882
1963M08,110565
1963M09,113374
1963M10,108421
1963M11,103907
1963M12,107013
1964M01,117584
1964M02,114709
1964M03,122938
1964M04,119167
1964M05,118245
1964M06,112094
1964M07,114829
1964M08,108873
1964M09,112666
1964M10,105754
1964M11,101493
1964M12,108952
1965M01,112775
1965M02,109728
1965M03,121381
1965M04,115140
1965M05,116345
1965M06,109750
1965M07,111468
1965M08,109317
1965M09,109808
1965M10,102357
1965M11,103110
1965M12,104207
1966M01,112812
1966M02,106294
1966M03,120702
1966M04,114532
1966M05,117079
1966M06,111028
1966M07,111393
1966M08,109237
1966M09,108224
1966M10,104262
1966M11,100500
1966M12,102240
1967M01,108613
1967M02,105623
1967M03,115846
1967M04,109818
1967M05,113695
1967M06,106029
1967M07,106974
1967M08,104019
1967M09,104377
1967M10,101449
1967M11,96420
1967M12,99413
1968M01,108552
1968M02,103286
1968M03,111521
1968M04,106058
1968M05,107753
1968M06,100755
1968M07,101260
1968M08,99991
1968M09,98696
1968M10,91828
1968M11,89891
1968M12,95377
1969M01,103340
1969M02,94625
1969M03,106864
1969M04,100021
1969M05,101131
1969M06,93819
1969M07,98208
1969M08,91746
1969M09,93585
1969M10,88600
1969M11,83839
1969M12,86588
1970M01,89656
1970M02,85069
1970M03,95800
1970M04,91249
1970M05,91756
1970M06,89058
1970M07,90423
1970M08,85095
1970M09,82059
1970M10,79460
1970M11,80283
1970M12,87829
1971M01,88529
1971M02,83027
1971M03,93310
1971M04,87904
1971M05,89164
1971M06,84387
1971M07,86197
1971M08,81905
1971M09,83400
1971M10,79626
1971M11,77813
1971M12,78134
1972M01,82378
1972M02,79146
1972M03,84615
1972M04,79554
1972M05,82099
1972M06,78901
1972M07,77927
1972M08,71500
1972M09,68807
1972M10,66654
1972M11,64510
1972M12,65566
1973M01,72512
1973M02,65778
1973M03,73796
1973M04,69291
1973M05,71170
1973M06,69257
1973M07,71266
1973M08,68171
1973M09,66156
1973M10,64413
1973M11,61645
1973M12,62514
1974M01,70251
1974M02,62699
1974M03,72410
1974M04,68304
1974M05,72482
1974M06,66601
1974M07,70422
1974M08,68634
1974M09,68348
1974M10,64276
1974M11,60353
1974M12,60720
1975M01,68476
1975M02,62516
1975M03,69216
1975M04,67474
1975M05,68656
1975M06,65133
1975M07,68575
1975M08,65436
1975M09,64950
1975M10,61117
1975M11,58541
1975M12,62220
1976M01,68866
1976M02,64211
1976M03,71041
1976M04,65912
1976M05,68790
1976M06,66873
1976M07,69146
1976M08,67858
1976M09,68910
1976M10,63713
1976M11,61211
1976M12,61803
1977M01,65738
1977M02,61882
1977M03,71631
1977M04,67175
1977M05,72251
1977M06,69372
1977M07,69023
1977M08,68080
1977M09,68767
1977M10,65564
1977M11,62586
1977M12,63427
1978M01,67538
1978M02,63830
1978M03,72118
1978M04,69100
1978M05,72525
1978M06,68485
1978M07,70272
1978M08,67297
1978M09,67722
1978M10,64871
1978M11,61028
1978M12,63833
1979M01,68139
1979M02,62341
1979M03,70575
