Date,Value
1970M01,77498
1970M02,68902
1970M03,77400
1970M04,75017
1970M05,77775
1970M06,78368
1970M07,83649
1970M08,76693
1970M09,70075
1970M10,71583
1970M11,71693
1970M12,72819
1971M01,79175
1971M02,69631
1971M03,78776
1971M04,73390
1971M05,77984
1971M06,77218
1971M07,82265
1971M08,78151
1971M09,77044
1971M10,75823
1971M11,70260
1971M12,67663
1972M01,75148
1972M02,69415
1972M03,75996
1972M04,71642
1972M05,75234
1972M06,76911
1972M07,82348
1972M08,77117
1972M09,75423
1972M10,73087
1972M11,66976
1972M12,68906
1973M01,75125
1973M02,67208
1973M03,74856
1973M04,71084
1973M05,77171
1973M06,76100
1973M07,80299
1973M08,75523
1973M09,71671
1973M10,70138
1973M11,66378
1973M12,68993
1974M01,73501
1974M02,64876
1974M03,73071
1974M04,70029
1974M05,75554
1974M06,73044
1974M07,79441
1974M08,77336
1974M09,75387
1974M10,73917
1974M11,66606
1974M12,66120
1975M01,71307
1975M02,63461
1975M03,71645
1975M04,68463
1975M05,72619
1975M06,71329
1975M07,76904
1975M08,72670
1975M09,68071
1975M10,65723
1975M11,62236
1975M12,63424
1976M01,68384
1976M03,67318
1976M05,69215
1976M07,69434
1976M09,64977
1976M11,58914
1977M01,61882
1977M02,56229
1977M03,64143
1977M04,60659
1977M05,68606
1977M06,66636
1977M07,67128
1977M08,63870
1977M09,61750
1977M10,60735
1977M11,55028
1977M12,54437
1978M01,59011
1978M02,53406
1978M03,60259
1978M04,58861
1978M05,64974
1978M06,62324
1978M07,64508
1978M08,60691
1978M09,59224
1978M10,58984
1978M11,53451
1978M12,53350
1979M01,56802
1979M02,50880
1979M03,56650
1979M04,56613
1979M05,61826
1979M06,58416
1979M07,61614
1979M08,58402
1979M09,56404
1979M10,54591
1979M11,48678
1979M12,49345
1980M01,52886
1980M02,48441
1980M03,54757
1980M04,51726
1980M05,57290
1980M06,56152
1980M07,58799
1980M08,55133
1980M09,54584
1980M10,53564
1980M11,48936
1980M12,48133
1981M01,51158
1981M02,45752
1981M03,52362
1981M04,52557
1981M05,55551
1981M06,53914
1981M07,56739
1981M08,53400
1981M09,54535
1981M10,51410
1981M11,47454
1981M12,48271
1982M01,50443
1982M02,45802
1982M03,50406
1982M04,50760
1982M05,56257
1982M06,53522
1982M07,56240
1982M08,53923
1982M09,53002
1982M10,51783
1982M11,48820
1982M12,48139
1983M01,49908
1983M02,44307
1983M03,49682
1983M04,47343
1983M05,53621
1983M06,52156
1983M07,56181
1983M08,52887
1983M09,51642
1983M10,51300
1983M11,46538
1983M12,46363
1984M01,47921
1984M02,44455
1984M03,49445
1984M04,46577
1984M05,50335
1984M06,51560
1984M07,54820
1984M08,52932
1984M09,50673
1984M10,50174
1984M11,45013
1984M12,43966
