Date,Total
1995M01,8898
1995M02,7716
1995M03,9176
1995M04,8854
1995M05,9686
1995M06,8992
1995M07,9348
1995M08,8936
1995M09,9126
1995M10,8952
1995M11,8577
1995M12,8836
1996M01,9032
1996M02,8377
1996M03,9169
1996M04,8918
1996M05,9605
1996M06,8736
1996M07,9343
1996M08,9157
1996M09,9475
1996M10,9739
1996M11,9413
1996M12,9297
1997M01,9539
1997M02,8551
1997M03,9176
1997M04,9309
1997M05,10208
1997M06,9485
1997M07,10190
1997M08,9289
1997M09,9634
1997M10,9435
1997M11,8910
1997M12,9207
1998M01,9403
1998M02,8424
1998M03,9625
1998M04,9491
1998M05,9537
1998M06,9429
1998M07,9562
1998M08,9498
1998M09,10151
1998M10,9659
1998M11,9314
1998M12,9291
1999M01,9534
1999M02,8241
1999M03,9621
1999M04,9371
1999M05,9906
1999M06,9428
1999M07,10108
1999M08,10000
1999M09,10344
1999M10,9917
1999M11,9701
1999M12,9831
2000M01,9825
2000M02,9214
2000M03,9667
2000M04,9563
2000M05,10366
2000M06,9756
2000M07,10254
2000M08,10545
2000M09,10561
2000M10,10677
2000M11,9934
2000M12,9646
2001M01,10133
2001M02,8582
2001M03,9545
2001M04,9129
2001M05,10212
2001M06,9055
2001M07,9790
2001M08,9683
2001M09,9528
2001M10,9549
2001M11,8827
2001M12,8741
2002M01,9378
2002M02,8328
2002M03,9299
2002M04,9055
2002M05,9788
2002M06,9200
2002M07,9932
2002M08,10040
2002M09,10353
2002M10,9987
2002M11,9148
2002M12,9875
2003M01,9778
2003M02,8784
2003M03,9265
2003M04,9081
2003M05,9915
2003M06,9226
2003M07,9548
2003M08,9310
2003M09,10018
2003M10,9727
2003M11,9024
2003M12,8839
2004M01,9280
2004M02,8439
2004M03,9310
2004M04,8740
2004M05,8887
2004M06,8641
2004M07,9431
2004M08,9218
2004M09,9962
2004M10,9355
2004M11,8929
2004M12,9106
2005M01,9087
2005M02,8351
2005M03,8793
2005M04,8615
2005M05,9054
2005M06,9032
2005M07,9297
2005M08,9798
2005M09,10018
2005M10,9296
2005M11,8990
2005M12,9068
2006M01,8828
2006M02,7993
2006M03,8733
2006M04,8214
2006M05,8827
2006M06,8529
2006M07,8882
2006M08,9094
2006M09,9531
2006M10,9506
2006M11,8932
2006M12,8380
2007M01,8325
2007M02,7456
2007M03,8387
2007M04,7985
2007M05,8616
2007M06,8328
2007M07,8974
2007M08,8959
2007M09,9473
2007M10,9031
2007M11,8442
2007M12,8516
2008M01,8745
2008M02,7628
2008M03,8207
2008M04,8417
2008M05,8714
2008M06,8275
2008M07,9260
2008M08,9126
2008M09,9743
2008M10,9412
2008M11,8489
2008M12,8578
2009M01,8268
2009M02,7219
2009M03,8251
2009M04,7829
2009M05,8374
2009M06,7916
2009M07,8520
2009M08,8650
2009M09,9153
2009M10,8565
2009M11,8298
2009M12,8448
2010M01,7855
2010M02,7114
2010M03,8286
2010M04,7977
2010M05,8332
2010M06,8231
2010M07,8648
2010M08,8590
2010M09,9537
2010M10,9170
2010M11,8748
2010M12,8893
2011M01,8282
2011M02,7542
2011M03,8084
2011M04,7449
2011M05,8346
2011M06,7952
2011M07,8573
2011M08,8467
2011M09,8554
2011M10,7894
2011M11,7872
2011M12,7841
2012M01,7636
2012M02,6753
2012M03,7354
2012M04,7178
2012M05,7773
2012M06,7105
2012M07,7676
2012M08,7866
2012M09,7979
2012M10,7878
2012M11,7538
2012M12,7105
2013M01,7232
2013M02,6080
2013M03,6700
2013M04,6529
2013M05,7115
2013M06,6596
2013M07,6953
2013M08,7258
2013M09,7522
2013M10,7344
2013M11,6631
2013M12,6827
2014M01,6759
2014M02,5992
2014M03,6501
2014M04,6269
2014M05,6889
2014M06,6398
2014M07,7253
2014M08,7274
2014M09,7741
2014M10,7298
2014M11,6982
2014M12,7011
2015M01,6978
2015M02,6045
2015M03,6853
2015M04,6689
2015M05,7212
2015M06,6742
2015M07,7512
2015M08,7390
2015M09,8107
2015M10,7413
2015M11,7180
2015M12,7379
2016M01,7049
2016M02,6528
2016M03,6980
2016M04,6919
2016M05,7464
2016M06,7343
2016M07,7513
2016M08,7596
2016M09,8053
2016M10,7509
2016M11,7114
2016M12,7058
2017M01,7096
2017M02,6322
2017M03,7094
2017M04,6664
2017M05,7228
2017M06,6903
2017M07,7484
2017M08,7284
2017M09,7552
2017M10,7740
2017M11,7604
2017M12,7183
2018M01,7169
2018M02,6182
2018M03,6796
2018M04,6720
2018M05,7525
2018M06,7057
2018M07,7354
2018M08,7864
2018M09,7849
2018M10,7868
2018M11,7339
2018M12,7297
2019M01,7266
2019M02,6404
2019M03,6941
2019M04,6782
2019M05,7194
2019M06,6768
2019M07,7597
2019M08,7624
2019M09,8006
2019M10,7830
2019M11,7233
2019M12,6934
2020M01,7301
2020M02,6328
2020M03,7129
2020M04,6921
2020M05,7220
2020M06,6813
2020M07,7432
2020M08,7207
2020M09,7652
2020M10,7385
2020M11,6846
2020M12,6296
2021M01,5989
2021M02,5719
2021M03,6635
2021M04,6289
2021M05,6796
2021M06,6529
2021M07,6989
2021M08,7145
2021M09,7223
2021M10,6819
2021M11,6549
2021M12,6900
2022M01,6373
2022M02,6215
2022M03,6696
2022M04,6206
2022M05,6927
2022M06,6706
2022M07,7302
2022M08,7679
2022M09,7742
2022M10,7430
2022M11,7282
2022M12,7113
