Date,Total
1975M01,52527
1975M02,50347
1975M03,56503
1975M04,57525
1975M05,60548
1975M06,56550
1975M07,59155
1975M08,57020
1975M09,56378
1975M10,55722
1975M11,52713
1975M12,54390
1976M01,56075
1976M02,52263
1976M03,56952
1976M04,55934
1976M05,60022
1976M06,57532
1976M07,58304
1976M08,57220
1976M09,58907
1976M10,57314
1976M11,52915
1976M12,54018
1977M01,54874
1977M02,49169
1977M03,57379
1977M04,55424
1977M05,59158
1977M06,56772
1977M07,57125
1977M08,55827
1977M09,55629
1977M10,54862
1977M11,50936
1977M12,49202
1978M01,54129
1978M02,47989
1978M03,54914
1978M04,55406
1978M05,59782
1978M06,54233
1978M07,54969
1978M08,53709
1978M09,52952
1978M10,53088
1978M11,48907
1978M12,46814
1979M01,52839
1979M02,45761
1979M03,51588
1979M04,51294
1979M05,55171
1979M06,51271
1979M07,52651
1979M08,50267
1979M09,49635
1979M10,48948
1979M11,46229
1979M12,46338
1980M01,48642
1980M02,44822
1980M03,48217
1980M04,47860
1980M05,50140
1980M06,47379
1980M07,49741
1980M08,48274
1980M09,48524
1980M10,47950
1980M11,43323
1980M12,46146
1981M01,44260
1981M02,40739
1981M03,44944
1981M04,45842
1981M05,48839
1981M06,44728
1981M07,46318
1981M08,45207
1981M09,45209
1981M10,44619
1981M11,41172
1981M12,41131
1982M01,42472
1982M02,39145
1982M03,43587
1982M04,43797
1982M05,46998
1982M06,43133
1982M07,44357
1982M08,42804
1982M09,43470
1982M10,43131
1982M11,41044
1982M12,41768
1983M01,40786
1983M02,37137
1983M03,41228
1983M04,39187
1983M05,43650
1983M06,40679
1983M07,43012
1983M08,41714
1983M09,41129
1983M10,40170
1983M11,37402
1983M12,39258
1984M01,39134
1984M02,37579
1984M03,40130
1984M04,39140
1984M05,42297
1984M06,39675
1984M07,39610
1984M08,39725
1984M09,39821
1984M10,40731
1984M11,37813
1984M12,37626
1985M01,38411
1985M02,34166
1985M03,40087
1985M04,38210
1985M05,41155
1985M06,38436
1985M07,39915
1985M08,37677
1985M09,38234
1985M10,38324
1985M11,35517
1985M12,36166
1986M01,36086
1986M02,32876
1986M03,36644
1986M04,36569
1986M05,38404
1986M06,35728
1986M07,37517
1986M08,36738
1986M09,37880
1986M10,37608
1986M11,35795
1986M12,36905
1987M01,36334
1987M02,32117
1987M03,36130
1987M04,36361
1987M05,37286
1987M06,35247
1987M07,35931
1987M08,36683
1987M09,37269
1987M10,35320
1987M11,33203
1987M12,34901
1988M01,35393
1988M02,32379
1988M03,36288
1988M04,34440
1988M05,35988
1988M06,33142
1988M07,35593
1988M08,35721
1988M09,36218
1988M10,35406
1988M11,33699
1988M12,34652
1989M01,33205
1989M02,31490
1989M03,34500
1989M04,34611
1989M05,35096
1989M06,33791
1989M07,35046
1989M08,34039
1989M09,34175
1989M10,35194
1989M11,34055
1989M12,33232
