Date,Winner,YEAR,,
1930-07-30,Uruguay,1930,,
1934-06-10,Italy,1934,,
1938-06-19,Italy,1938,,
1950-07-16,Uruguay,1950,,
1954-07-04,West Germany,1954,,
1958-06-29,Brazil,1958,,
1962-06-17,Brazil,1962,,
1966-07-30,England,1966,,
1970-06-21,Brazil,1970,,
1974-07-07,West Germany,1974,,
1978-06-25,Argentina,1978,,
1982-07-11,Italy,1982,,
1986-06-29,Argentina,1986,,
1990-07-08,West Germany,1990,,
1994-07-17,Brazil,1994,,
1998-07-02,France,1998,,
2002-06-30,Brazil,2002,,
2006-07-09,Italy,2006,,
2010-07-11,Spain,2010,,
2014-07-13,Germany,2014,,
2018-07-15,France,2018,,
2022-12-18,Argentina,2022,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,1999-04-02
